Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
binary.java-spring-boot-todoapp-pelinhangisi-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-todoapp-pelinhangisi-syft-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-todoapp-pelinhangisi-trivy-artifact.unknown,ok,,,,,,,
binary.java-todoapp-springboot-docker-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-todoapp-springboot-docker-syft-artifact.unknown,ok,,,,,,,
binary.java-todoapp-springboot-docker-trivy-artifact.unknown,ok,,,,,,,
binary.spring-boot-3-rest-api-example-bezkoder.cdxgen,ok,,,,,,,
binary.spring-boot-3-rest-api-example-bezkoder.syft,ok,,,,,,,
binary.spring-boot-3-rest-api-example-bezkoder.trivy,ok,,,,,,,
binary.spring-boot-3-todo-application.cdxgen,ok,,,,,,,
binary.spring-boot-3-todo-application.syft,ok,,,,,,,
binary.spring-boot-3-todo-application.trivy,ok,,,,,,,
binary.spring-boot-ecommerce-rest-api-manirdev.cdxgen,ok,,,,,,,
binary.spring-boot-ecommerce-rest-api-manirdev.syft,ok,,,,,,,
binary.spring-boot-ecommerce-rest-api-manirdev.trivy,ok,,,,,,,
binary.spring-boot-file-upload-download.cdxgen,ok,,,,,,,
binary.spring-boot-file-upload-download.syft,ok,,,,,,,
binary.spring-boot-file-upload-download.trivy,ok,,,,,,,
binary.spring-boot-todoapp-pelinhangisi.cdxgen,ok,,,,,,,
binary.spring-boot-todoapp-pelinhangisi.syft,ok,,,,,,,
binary.spring-boot-todoapp-pelinhangisi.trivy,ok,,,,,,,
binary.todoapp-springboot-docker.cdxgen,ok,,,,,,,
binary.todoapp-springboot-docker.syft,ok,,,,,,,
binary.todoapp-springboot-docker.trivy,ok,,,,,,,
