Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
image.signoz__sample-nodejs-app_latest.syft,ok,203.0,45,6,21,10,8,0
image.signoz__sample-nodejs-app_latest.trivy,ok,1404.0,378,36,68,215,59,0
image.springcommunity__spring-framework-petclinic_latest.cdxgen,ok,2264.0,478,36,147,125,14,156
image.springcommunity__spring-framework-petclinic_latest.syft,ok,,,,,,,
image.springcommunity__spring-framework-petclinic_latest.trivy,ok,1122.0,251,17,77,85,12,60
image.springcommunity__spring-petclinic-rest_2.6.2.cdxgen,ok,1466.0,291,37,97,77,5,75
image.springcommunity__spring-petclinic-rest_2.6.2.syft,ok,850.0,190,16,61,72,9,32
image.springcommunity__spring-petclinic-rest_2.6.2.trivy,ok,996.0,206,26,73,68,7,32
image.tiangolo__uwsgi-nginx-flask_python3.11.cdxgen,ok,4684.0,1034,10,106,230,19,669
image.tiangolo__uwsgi-nginx-flask_python3.11.syft,ok,,,,,,,
image.tiangolo__uwsgi-nginx-flask_python3.11.trivy,ok,2802.0,698,34,175,363,33,93
image.traefik_v3.1.cdxgen,ok,1054.0,226,26,105,81,11,3
image.traefik_v3.1.syft,ok,,,,,,,
image.traefik_v3.1.trivy,ok,1131.0,239,26,104,75,11,23
image.ubuntu_24.04.cdxgen,ok,183.0,46,1,10,20,3,12
image.ubuntu_24.04.syft,ok,,,,,,,
image.ubuntu_24.04.trivy,ok,16.0,4,0,1,2,0,1
image.wordpress_6.6.2-php8.2-apache.cdxgen,ok,25232.0,6439,65,1412,3538,53,1371
image.wordpress_6.6.2-php8.2-apache.syft,ok,1007.0,222,21,68,70,17,46
image.wordpress_6.6.2-php8.2-apache.trivy,ok,717.0,165,14,57,61,14,19
src.java.JPA-Specifications-Example.cdxgen,unknown,,,,,,,
src.java.JPA-Specifications-Example.syft,unknown,,,,,,,
src.java.JPA-Specifications-Example.trivy,unknown,,,,,,,
src.java.Simple-Spring-Boot-application.cdxgen,unknown,,,,,,,
src.java.Simple-Spring-Boot-application.syft,unknown,,,,,,,
src.java.Simple-Spring-Boot-application.trivy,unknown,,,,,,,
src.java.Spring-Boot-Application-Template.cdxgen,unknown,,,,,,,
src.java.Spring-Boot-Application-Template.syft,unknown,,,,,,,
src.java.Spring-Boot-Application-Template.trivy,unknown,,,,,,,
src.java.Spring-Boot-Blog-REST-API.cdxgen,unknown,,,,,,,
src.java.Spring-Boot-Blog-REST-API.syft,unknown,,,,,,,
src.java.Spring-Boot-Blog-REST-API.trivy,unknown,,,,,,,
src.java.Spring-Boot-Demo.cdxgen,unknown,,,,,,,
src.java.Spring-Boot-Demo.syft,unknown,,,,,,,
src.java.Spring-Boot-Demo.trivy,unknown,,,,,,,
src.java.Spring-Boot-On-Weblogic.cdxgen,unknown,,,,,,,
src.java.Spring-Boot-On-Weblogic.syft,unknown,,,,,,,
src.java.Spring-Boot-On-Weblogic.trivy,unknown,,,,,,,
src.java.SpringBoot-RestAPI.cdxgen,unknown,,,,,,,
src.java.SpringBoot-RestAPI.syft,unknown,,,,,,,
src.java.SpringBoot-RestAPI.trivy,unknown,,,,,,,
src.java.adrs-archunit-sample.cdxgen,unknown,,,,,,,
src.java.adrs-archunit-sample.syft,unknown,,,,,,,
src.java.adrs-archunit-sample.trivy,unknown,,,,,,,
src.java.cloud-spring-boot-sample.cdxgen,unknown,,,,,,,
src.java.cloud-spring-boot-sample.syft,unknown,,,,,,,
src.java.cloud-spring-boot-sample.trivy,unknown,,,,,,,
src.java.dropwizard.cdxgen,unknown,,,,,,,
src.java.dropwizard.syft,unknown,,,,,,,
src.java.dropwizard.trivy,unknown,,,,,,,
src.java.dubbo.cdxgen,unknown,,,,,,,
src.java.dubbo.syft,unknown,,,,,,,
src.java.dubbo.trivy,unknown,,,,,,,
src.java.example_springboot_RESTAPI.cdxgen,unknown,,,,,,,
src.java.example_springboot_RESTAPI.syft,unknown,,,,,,,
src.java.example_springboot_RESTAPI.trivy,unknown,,,,,,,
src.java.friendmgmt.cdxgen,unknown,,,,,,,
src.java.friendmgmt.syft,unknown,,,,,,,
src.java.friendmgmt.trivy,unknown,,,,,,,
src.java.guava.cdxgen,unknown,,,,,,,
src.java.guava.syft,unknown,,,,,,,
src.java.guava.trivy,unknown,,,,,,,
src.java.java-design-patterns.cdxgen,unknown,,,,,,,
src.java.java-design-patterns.syft,unknown,,,,,,,
src.java.java-design-patterns.trivy,unknown,,,,,,,
src.java.java.samples.spring.boot.cdxgen,unknown,,,,,,,
src.java.java.samples.spring.boot.syft,unknown,,,,,,,
src.java.java.samples.spring.boot.trivy,unknown,,,,,,,
src.java.jsoup.cdxgen,unknown,,,,,,,
src.java.jsoup.syft,unknown,,,,,,,
src.java.jsoup.trivy,unknown,,,,,,,
src.java.mapstruct-examples.cdxgen,unknown,,,,,,,
src.java.mapstruct-examples.syft,unknown,,,,,,,
src.java.mapstruct-examples.trivy,unknown,,,,,,,
src.java.mapstruct.cdxgen,unknown,,,,,,,
src.java.mapstruct.syft,unknown,,,,,,,
src.java.mapstruct.trivy,unknown,,,,,,,
src.java.ms-springboot-310-java-17-jakarta-ee-10.cdxgen,unknown,,,,,,,
src.java.ms-springboot-310-java-17-jakarta-ee-10.syft,unknown,,,,,,,
src.java.ms-springboot-310-java-17-jakarta-ee-10.trivy,unknown,,,,,,,
src.java.netty.cdxgen,unknown,,,,,,,
src.java.netty.syft,unknown,,,,,,,
src.java.netty.trivy,unknown,,,,,,,
src.java.spring-ai-demo.cdxgen,unknown,,,,,,,
src.java.spring-ai-demo.syft,unknown,,,,,,,
src.java.spring-ai-demo.trivy,unknown,,,,,,,
src.java.spring-boot-3-hello-world.cdxgen,unknown,,,,,,,
src.java.spring-boot-3-hello-world.syft,unknown,,,,,,,
src.java.spring-boot-3-hello-world.trivy,unknown,,,,,,,
src.java.spring-boot-3-rest-api-example.cdxgen,unknown,,,,,,,
src.java.spring-boot-3-rest-api-example.syft,unknown,,,,,,,
src.java.spring-boot-3-rest-api-example.trivy,unknown,,,,,,,
src.java.spring-boot-assembly.cdxgen,unknown,,,,,,,
src.java.spring-boot-assembly.syft,unknown,,,,,,,
src.java.spring-boot-assembly.trivy,unknown,,,,,,,
src.java.spring-boot-configmaps-demo.cdxgen,unknown,,,,,,,
src.java.spring-boot-configmaps-demo.syft,unknown,,,,,,,
src.java.spring-boot-configmaps-demo.trivy,unknown,,,,,,,
src.java.spring-boot-demo.cdxgen,unknown,,,,,,,
src.java.spring-boot-demo.syft,unknown,,,,,,,
src.java.spring-boot-demo.trivy,unknown,,,,,,,
src.java.spring-boot-essentials.cdxgen,unknown,,,,,,,
src.java.spring-boot-essentials.syft,unknown,,,,,,,
src.java.spring-boot-essentials.trivy,unknown,,,,,,,
src.java.spring-boot-file-upload-download-rest-api-example.cdxgen,unknown,,,,,,,
src.java.spring-boot-file-upload-download-rest-api-example.syft,unknown,,,,,,,
src.java.spring-boot-file-upload-download-rest-api-example.trivy,unknown,,,,,,,
src.java.spring-boot-jpa-postgresql.cdxgen,unknown,,,,,,,
src.java.spring-boot-jpa-postgresql.syft,unknown,,,,,,,
src.java.spring-boot-jpa-postgresql.trivy,unknown,,,,,,,
src.java.spring-boot-jsp-example.cdxgen,unknown,,,,,,,
src.java.spring-boot-jsp-example.syft,unknown,,,,,,,
src.java.spring-boot-jsp-example.trivy,unknown,,,,,,,
src.java.spring-boot-microservices-best-practices.cdxgen,unknown,,,,,,,
src.java.spring-boot-microservices-best-practices.syft,unknown,,,,,,,
src.java.spring-boot-microservices-best-practices.trivy,unknown,,,,,,,
src.java.spring-boot-rest-api-mysql.cdxgen,unknown,,,,,,,
src.java.spring-boot-rest-api-mysql.syft,unknown,,,,,,,
src.java.spring-boot-rest-api-mysql.trivy,unknown,,,,,,,
src.java.spring-boot-rest-api-postgresql.cdxgen,unknown,,,,,,,
src.java.spring-boot-rest-api-postgresql.syft,unknown,,,,,,,
src.java.spring-boot-rest-api-postgresql.trivy,unknown,,,,,,,
src.java.spring-boot-rest-api-template.cdxgen,unknown,,,,,,,
src.java.spring-boot-rest-api-template.syft,unknown,,,,,,,
src.java.spring-boot-rest-api-template.trivy,unknown,,,,,,,
src.java.spring-boot-spring-loaded-java8-example.cdxgen,unknown,,,,,,,
src.java.spring-boot-spring-loaded-java8-example.syft,unknown,,,,,,,
src.java.spring-boot-spring-loaded-java8-example.trivy,unknown,,,,,,,
src.java.spring-boot-with-webxml.cdxgen,unknown,,,,,,,
src.java.spring-boot-with-webxml.syft,unknown,,,,,,,
src.java.spring-boot-with-webxml.trivy,unknown,,,,,,,
src.java.spring-data-examples.cdxgen,unknown,,,,,,,
src.java.spring-data-examples.syft,unknown,,,,,,,
src.java.spring-data-examples.trivy,unknown,,,,,,,
src.java.spring-data-jpa-course.cdxgen,unknown,,,,,,,
src.java.spring-data-jpa-course.syft,unknown,,,,,,,
src.java.spring-data-jpa-course.trivy,unknown,,,,,,,
src.java.spring-jpa-hibernate-mysql-example.cdxgen,unknown,,,,,,,
src.java.spring-jpa-hibernate-mysql-example.syft,unknown,,,,,,,
src.java.spring-jpa-hibernate-mysql-example.trivy,unknown,,,,,,,
src.java.spring-petclinic-angularjs.cdxgen,unknown,,,,,,,
src.java.spring-petclinic-angularjs.syft,unknown,,,,,,,
src.java.spring-petclinic-angularjs.trivy,unknown,,,,,,,
src.java.spring-petclinic-microservices.cdxgen,unknown,,,,,,,
src.java.spring-petclinic-microservices.syft,unknown,,,,,,,
src.java.spring-petclinic-microservices.trivy,unknown,,,,,,,
src.java.spring-petclinic-reactive.cdxgen,unknown,,,,,,,
src.java.spring-petclinic-reactive.syft,unknown,,,,,,,
src.java.spring-petclinic-reactive.trivy,unknown,,,,,,,
src.java.spring-petclinic-rest.cdxgen,unknown,,,,,,,
src.java.spring-petclinic-rest.syft,unknown,,,,,,,
src.java.spring-petclinic-rest.trivy,unknown,,,,,,,
src.java.spring-petclinic.cdxgen,unknown,,,,,,,
src.java.spring-petclinic.syft,unknown,,,,,,,
src.java.spring-petclinic.trivy,unknown,,,,,,,
src.java.swagger-core.cdxgen,unknown,,,,,,,
src.java.swagger-core.syft,unknown,,,,,,,
src.java.swagger-core.trivy,unknown,,,,,,,
src.java.testcontainers-spring-boot.cdxgen,unknown,,,,,,,
src.java.testcontainers-spring-boot.syft,unknown,,,,,,,
src.java.testcontainers-spring-boot.trivy,unknown,,,,,,,
src.java.testing-spring-boot-rest-api.cdxgen,unknown,,,,,,,
src.java.testing-spring-boot-rest-api.syft,unknown,,,,,,,
src.java.testing-spring-boot-rest-api.trivy,unknown,,,,,,,
src.java.wildfly-spring-boot-sample.cdxgen,unknown,,,,,,,
src.java.wildfly-spring-boot-sample.syft,unknown,,,,,,,
src.java.wildfly-spring-boot-sample.trivy,unknown,,,,,,,
src.nodejs.blog-app-react-mysql-node.cdxgen,unknown,,,,,,,
src.nodejs.blog-app-react-mysql-node.syft,unknown,,,,,,,
src.nodejs.blog-app-react-mysql-node.trivy,unknown,,,,,,,
src.nodejs.blog-strapi-marktawa.cdxgen,unknown,,,,,,,
src.nodejs.blog-strapi-marktawa.syft,unknown,,,,,,,
